10193 2479 
9341 2523 
8603 2160 
8153 2146 
8026 2087 
7667 1936 
7496 1827 
7366 1862 
7110 1826 
6837 1752 
6570 1770 
6553 1721 
6424 1737 
6184 1676 
5938 1649 
5784 1658 
5783 1688 
5850 1600 
5824 1694 
5660 1751 
5339 1703 
5752 1712 
5356 1734 
5144 1613 
4756 1646 
4881 1688 
5034 1616 
4709 1629 
5071 1727 
4789 1629 
4511 1665 
5948 1879 
5181 1701 
4854 1683 
4511 1674 
4065 1753 
5104 1837 
4547 1702 
4240 1791 
4331 1738 
3775 1788 
3828 1646 
3810 1765 
3610 1637 
3224 1723 
3804 1711 
3984 1766 
3143 1637 
3183 1735 
3141 1793 
4443 1749 
3879 1741 
3709 1748 
3824 1658 
3555 1749 
3187 1680 
2773 1732 
2758 1668 
2563 1779 
3171 1679 
3044 1758 
4095 1822 
3612 1806 
3491 1692 
3994 1778 
4155 1700 
3244 1718 
3423 1820 
3547 1678 
3579 1868 
3479 1697 
2665 1633 
2956 1737 
3233 1721 
2551 1713 
2291 1700 
2869 1860 
3021 1690 
2512 1682 
2219 1701 
3060 1704 
2579 1773 
2633 1743 
3126 1653 
4025 1857 
2956 1761 
2368 1701 
2020 1678 
2181 1669 
2069 1666 
2169 1779 
1979 1732 
2476 1803 
2696 1769 
3795 1824 
2800 1719 
2885 1735 
2705 1733 
2411 1804 
5170 1885 
